Year,Month,Day,FMO1,FMO2,Amplitude
1979,1,1,0.30443,0.83719,0.89082
1979,1,2,0.19164,0.95752,0.97651
1979,1,3,0.04358,1.063,1.06389
1979,1,4,-0.13524,1.14422,1.15219
1979,1,5,-0.33757,1.19268,1.23954
1979,1,6,-0.5537,1.20145,1.3229
1979,1,7,-0.77211,1.16575,1.39826
1979,1,8,-0.98023,1.08335,1.46099
1979,1,9,-1.16534,0.95486,1.50658
1979,1,10,-1.31552,0.78374,1.53129
1979,1,11,-1.42057,0.57614,1.53296
1979,1,12,-1.47286,0.34054,1.51172
1979,1,13,-1.46794,0.08721,1.47053
1979,1,14,-1.40497,-0.17247,1.41552
1979,1,15,-1.28688,-0.4267,1.35578
1979,1,16,-1.12015,-0.66413,1.30223
1979,1,17,-0.91445,-0.8745,1.26529
1979,1,18,-0.68189,-1.04935,1.25145
1979,1,19,-0.43617,-1.18254,1.26041
1979,1,20,-0.19152,-1.27054,1.2849
1979,1,21,0.03833,-1.31265,1.31321
1979,1,22,0.2412,-1.31091,1.33291
1979,1,23,0.40733,-1.26983,1.33356
1979,1,24,0.53008,-1.19606,1.30826
1979,1,25,0.60638,-1.09778,1.25412
1979,1,26,0.63684,-0.98406,1.17216
1979,1,27,0.62561,-0.86426,1.06693
1979,1,28,0.5799,-0.74728,0.94589
1979,1,29,0.50926,-0.64104,0.81871
1979,1,30,0.42475,-0.55196,0.69648
1979,1,31,0.33787,-0.4846,0.59076
1979,2,1,0.25958,-0.44147,0.51213
1979,2,2,0.19936,-0.42297,0.4676
1979,2,3,0.16438,-0.42756,0.45807
1979,2,4,0.15898,-0.45194,0.47909
1979,2,5,0.18433,-0.49148,0.52491
1979,2,6,0.23842,-0.54058,0.59082
1979,2,7,0.31635,-0.5932,0.67229
1979,2,8,0.4109,-0.64327,0.76331
1979,2,9,0.51321,-0.68512,0.85602
1979,2,10,0.61373,-0.7138,0.94137
1979,2,11,0.70311,-0.72538,1.01022
1979,2,12,0.77313,-0.71704,1.05445
1979,2,13,0.81743,-0.68712,1.06786
1979,2,14,0.83215,-0.6351,1.04682
1979,2,15,0.81621,-0.56142,0.99066
1979,2,16,0.7714,-0.46733,0.90192
1979,2,17,0.70211,-0.35467,0.78661
1979,2,18,0.61487,-0.22562,0.65496
1979,2,19,0.51763,-0.08256,0.52417
1979,2,20,0.4189,0.07211,0.42506
1979,2,21,0.32687,0.23606,0.4032
1979,2,22,0.24849,0.40702,0.47687
1979,2,23,0.18872,0.58277,0.61257
1979,2,24,0.14998,0.76107,0.7757
1979,2,25,0.13178,0.93949,0.94869
1979,2,26,0.13074,1.11534,1.12298
1979,2,27,0.14085,1.28549,1.29318
1979,2,28,0.15401,1.44632,1.45449
1979,3,1,0.16082,1.59367,1.60177
1979,3,2,0.15158,1.72291,1.72957
1979,3,3,0.11724,1.82901,1.83276
1979,3,4,0.05049,1.90675,1.90741
1979,3,5,-0.05339,1.951,1.95173
1979,3,6,-0.19579,1.95705,1.96682
1979,3,7,-0.37441,1.9209,1.95704
1979,3,8,-0.58308,1.83967,1.92986
1979,3,9,-0.81208,1.71191,1.89476
1979,3,10,-1.04868,1.53789,1.86141
1979,3,11,-1.278,1.31976,1.83713
1979,3,12,-1.48413,1.06166,1.82476
1979,3,13,-1.65137,0.76972,1.82195
1979,3,14,-1.76546,0.45187,1.82238
1979,3,15,-1.81481,0.1176,1.81862
