Year,Month,Day,OMI1,OMI2,Amplitude
1979,1,1,0.16639,0.76473,0.78262
1979,1,2,0.02021,0.84181,0.84206
1979,1,3,-0.15859,0.90764,0.92139
1979,1,4,-0.36318,0.95284,1.01971
1979,1,5,-0.58347,0.96865,1.13081
1979,1,6,-0.80653,0.94842,1.24499
1979,1,7,-1.01786,0.88883,1.35132
1979,1,8,-1.2031,0.79033,1.43947
1979,1,9,-1.34988,0.65653,1.50107
1979,1,10,-1.44905,0.49303,1.53063
1979,1,11,-1.49528,0.30632,1.52633
1979,1,12,-1.48696,0.10303,1.49053
1979,1,13,-1.42591,-0.11025,1.43016
1979,1,14,-1.31671,-0.32692,1.35669
1979,1,15,-1.16629,-0.54017,1.28531
1979,1,16,-0.98335,-0.74294,1.23245
1979,1,17,-0.7779,-0.92803,1.21094
1979,1,18,-0.56079,-1.08849,1.22446
1979,1,19,-0.34318,-1.21816,1.26558
1979,1,20,-0.13605,-1.31226,1.31929
1979,1,21,0.05052,-1.36795,1.36889
1979,1,22,0.20797,-1.38467,1.4002
1979,1,23,0.33,-1.36418,1.40353
1979,1,24,0.41305,-1.3104,1.37395
1979,1,25,0.45651,-1.22898,1.31103
1979,1,26,0.46266,-1.12689,1.21816
1979,1,27,0.43626,-1.01191,1.10195
1979,1,28,0.38392,-0.89225,0.97134
1979,1,29,0.31341,-0.77615,0.83704
1979,1,30,0.23301,-0.67152,0.7108
1979,1,31,0.15106,-0.58558,0.60475
1979,2,1,0.07582,-0.52438,0.52983
1979,2,2,0.01554,-0.49212,0.49236
1979,2,3,-0.0216,-0.48999,0.49046
1979,2,4,-0.02863,-0.5146,0.5154
1979,2,5,-0.00276,-0.55728,0.55729
1979,2,6,0.05195,-0.6064,0.60863
1979,2,7,0.12609,-0.65198,0.66406
1979,2,8,0.20936,-0.68775,0.71891
1979,2,9,0.29339,-0.71003,0.76826
1979,2,10,0.37198,-0.71613,0.80698
1979,2,11,0.44087,-0.70361,0.83032
1979,2,12,0.4975,-0.67032,0.83477
1979,2,13,0.54115,-0.61471,0.81897
1979,2,14,0.57278,-0.53617,0.78457
1979,2,15,0.59489,-0.43529,0.73713
1979,2,16,0.61099,-0.31393,0.68692
1979,2,17,0.62496,-0.17496,0.64898
1979,2,18,0.64001,-0.02177,0.64038
1979,2,19,0.65749,0.1427,0.6728
1979,2,20,0.67508,0.31729,0.74592
1979,2,21,0.68398,0.50404,0.84964
1979,2,22,0.66544,0.70773,0.97144
