Year,Month,Day,RMM1,RMM2,Phase,Amplitude
1974,6,1,1.63447,1.20304,5,2.02948
1974,6,2,1.60289,1.01512,5,1.89729
1974,6,3,1.51625,1.08551,5,1.86476
1974,6,4,1.50981,1.03573,5,1.83092
1974,6,5,1.55906,1.30518,5,2.03326
1974,6,6,1.20626,1.62889,6,2.02690
1974,6,7,0.61110,1.72248,6,1.82767
1974,6,8,0.32640,1.77818,6,1.80789
1974,6,9,0.09383,1.35694,6,1.36018
1974,6,10,-0.08613,0.77548,7,0.78024
1974,6,11,0.11139,0.38953,6,0.40515
1974,6,12,0.12049,0.01389,5,0.12129
1974,6,13,0.01928,-0.21767,3,0.21852
1974,6,14,-0.10436,-0.38105,2,0.39508
1974,6,15,-0.18294,-0.64535,2,0.67078
1974,6,16,-0.23596,-0.47107,2,0.52687
1974,6,17,-0.49869,-0.48752,1,0.69740
1974,6,18,-0.56980,-0.36398,1,0.67613
1974,6,19,-0.69503,-0.35557,1,0.78070
1974,6,20,-0.72915,-0.47646,1,0.87102
1974,6,21,-1.09443,-0.83275,1,1.37523
1974,6,22,-1.09851,-0.83867,1,1.38206
1974,6,23,-1.06244,-0.50405,1,1.17594
1974,6,24,-0.88507,-0.32444,1,0.94266
1974,6,25,-0.76582,-0.33355,1,0.83530
1974,6,26,-0.83447,-0.41418,1,0.93161
1974,6,27,-0.80130,-0.35989,1,0.87841
1974,6,28,-0.56442,-0.29799,1,0.63825
1974,6,29,-0.09705,-0.40189,2,0.41344
1974,6,30,0.00915,-0.24385,3,0.24402
1974,7,1,0.26055,0.08710,5,0.27472
1974,7,2,0.26702,0.23012,5,0.35250
1974,7,3,0.35558,0.38716,6,0.52567
1974,7,4,0.84438,0.42614,5,0.94582
1974,7,5,1.12066,0.40039,5,1.19004
1974,7,6,1.07635,0.59541,5,1.23006
1974,7,7,0.81290,0.87044,6,1.19100
1974,7,8,0.43173,1.08825,6,1.17076
1974,7,9,0.08102,1.17053,6,1.17333
1974,7,10,-0.12074,1.12966,7,1.13609
1974,7,11,-0.27892,0.99857,7,1.03679
1974,7,12,-0.13957,0.70271,7,0.71644
1974,7,13,-0.20472,0.40228,7,0.45137
1974,7,14,-0.19937,0.11084,8,0.22811
1974,7,15,-0.09529,-0.13186,2,0.16269
1974,7,16,-0.10831,-0.31318,2,0.33138
1974,7,17,-0.00567,-0.50315,2,0.50318
1974,7,18,0.17969,-0.44851,3,0.48317
1974,7,19,0.28532,-0.48165,3,0.55981
1974,7,20,0.33099,-0.90205,3,0.96086
1974,7,21,0.36483,-1.29166,3,1.34219
1974,7,22,0.34642,-1.20997,3,1.25858
1974,7,23,0.39281,-1.04746,3,1.11869
1974,7,24,0.44717,-0.87783,3,0.98517
1974,7,25,0.45279,-0.83619,3,0.95091
1974,7,26,0.55687,-0.80813,3,0.98142
1974,7,27,0.73983,-0.60003,4,0.95257
1974,7,28,0.66544,-0.42068,4,0.78726
1974,7,29,0.78545,-0.13224,4,0.79650
1974,7,30,1.13624,0.05748,5,1.13770
1974,7,31,1.25198,0.66262,5,1.41652
1974,8,1,1.30887,0.96449,5,1.62585
1974,8,2,1.33118,1.27768,5,1.84513
1974,8,3,1.33971,1.39658,6,1.93527
1974,8,4,1.24842,1.59883,6,2.02849
1974,8,5,0.83587,1.67150,6,1.86884
1974,8,6,0.53585,1.73989,6,1.82053
1974,8,7,0.12357,1.77426,6,1.77856
1974,8,8,-0.14637,1.73052,7,1.73670
1974,8,9,-0.20364,1.43698,7,1.45134
1974,8,10,0.21717,1.28915,6,1.30731
1974,8,11,0.69976,0.96175,6,1.18939
1974,8,12,1.06369,0.65504,5,1.24920
