Year,Month,Day,VPM1,VPM2,Amplitude
1979,4,30,0.74997,-1.74455,1.89893
1979,5,1,0.19903,-1.82854,1.83934
1979,5,2,-0.39939,-1.63975,1.68769
1979,5,3,-0.72617,-1.28078,1.47232
1979,5,4,-0.80288,-0.92814,1.22721
1979,5,5,-0.96992,-0.7488,1.22534
1979,5,6,-1.15739,-0.70293,1.35413
1979,5,7,-0.67606,-0.47882,0.82845
1979,5,8,-0.5684,-0.33236,0.65844
1979,5,9,-0.69868,-0.54938,0.88881
1979,5,10,-0.70245,-0.15381,0.7191
1979,5,11,-0.63841,-0.09816,0.64591
1979,5,12,-0.5511,0.12186,0.56442
1979,5,13,-0.61789,0.64466,0.89295
1979,5,14,-0.65909,0.8737,1.09442
1979,5,15,-0.78087,1.08587,1.33749
1979,5,16,-0.59246,1.32807,1.45423
1979,5,17,-0.60364,1.49397,1.61131
1979,5,18,-0.16234,1.45223,1.46127
1979,5,19,0.05227,1.29273,1.29379
1979,5,20,0.35415,0.97109,1.03365
1979,5,21,0.27714,1.05525,1.09104
1979,5,22,0.42636,0.99614,1.08355
1979,5,23,0.81493,0.75112,1.10829
1979,5,24,1.12308,0.91414,1.44809
1979,5,25,1.35794,0.83554,1.59441
1979,5,26,1.75547,0.75034,1.90911
1979,5,27,1.89478,0.35161,1.92713
1979,5,28,1.69462,-0.37293,1.73517
1979,5,29,1.7052,-0.50411,1.77816
1979,5,30,1.64361,-0.53238,1.72768
1979,5,31,1.51111,-0.32722,1.54613
1979,6,1,1.43869,-0.36881,1.48521
1979,6,2,1.83179,-0.69831,1.96038
1979,6,3,1.84296,-1.09908,2.1458
1979,6,4,1.65818,-1.6653,2.35006
1979,6,5,1.4334,-1.58027,2.13351
1979,6,6,0.93692,-1.77557,2.0076
1979,6,7,0.60275,-1.91735,2.00986
1979,6,8,0.33315,-1.80427,1.83477
1979,6,9,0.26151,-1.84768,1.86609
1979,6,10,-0.02631,-1.62039,1.6206
1979,6,11,-0.47549,-1.56262,1.63336
1979,6,12,-0.43932,-1.70103,1.75684
1979,6,13,-0.09513,-1.65576,1.65849
1979,6,14,-0.6058,-1.36102,1.48976
1979,6,15,-1.14312,-1.56922,1.94143
1979,6,16,-1.4213,-1.47393,2.04757
1979,6,17,-1.5465,-1.56631,2.20113
1979,6,18,-1.99687,-1.19718,2.32825
1979,6,19,-2.14596,-1.17384,2.44602
1979,6,20,-2.04523,-0.89309,2.23172
1979,6,21,-2.25686,-0.53182,2.31868
1979,6,22,-2.21427,-0.12874,2.21801
1979,6,23,-2.13885,0.01157,2.13888
1979,6,24,-2.0557,0.26954,2.07329
1979,6,25,-2.04673,0.16083,2.05304
1979,6,26,-1.8673,0.30814,1.89256
1979,6,27,-1.71578,0.53089,1.79603
1979,6,28,-1.58405,0.76088,1.75731
1979,6,29,-1.31844,0.91104,1.60258
1979,6,30,-1.44292,1.09945,1.81406
1979,7,1,-1.25531,1.22731,1.75558
1979,7,2,-0.93663,1.43516,1.71376
1979,7,3,-0.63117,1.47592,1.60522
1979,7,4,-0.45677,1.42502,1.49643
1979,7,5,-0.12943,1.576,1.58131
1979,7,6,0.13041,1.14736,1.15475
1979,7,7,0.69332,0.81092,1.0669
1979,7,8,0.93731,0.81984,1.24527
1979,7,9,1.18553,0.77216,1.41482
1979,7,10,1.36004,0.32086,1.39738
1979,7,11,1.29681,-0.01538,1.2969
1979,7,12,1.32179,-0.37049,1.37273
1979,7,13,0.63177,-0.36442,0.72934
1979,7,14,0.18634,-0.09635,0.20977
1979,7,15,0.45098,0.1337,0.47038
1979,7,16,0.51097,-0.01907,0.51133
1979,7,17,0.58886,-0.1173,0.60043
1979,7,18,0.69177,-0.22996,0.729
1979,7,19,0.457,-0.51248,0.68665
1979,7,20,0.47482,-0.57751,0.74764
1979,7,21,0.6505,-1.01363,1.20441
1979,7,22,0.39973,-1.41277,1.46823
1979,7,23,0.00755,-1.63221,1.63223
1979,7,24,0.03089,-1.26575,1.26613
1979,7,25,-0.16412,-1.05483,1.06752
1979,7,26,-0.75143,-0.72255,1.04246
1979,7,27,-1.25362,-0.82032,1.49816
1979,7,28,-1.32195,-0.59475,1.44958
1979,7,29,-1.37344,-0.3333,1.41331
1979,7,30,-1.47546,-0.0456,1.47616
1979,7,31,-1.56596,0.22535,1.5821
1979,8,1,-1.72745,0.45494,1.78635
1979,8,2,-1.93796,0.52766,2.00851
1979,8,3,-2.19145,1.11916,2.46068
1979,8,4,-2.15436,1.32552,2.52948
1979,8,5,-2.05997,1.51743,2.55853
1979,8,6,-2.11155,1.50765,2.59455
1979,8,7,-2.10136,1.82017,2.78006
1979,8,8,-1.49656,2.18256,2.64636
1979,8,9,-0.90429,2.2365,2.4124
1979,8,10,-0.83787,2.27549,2.42484
1979,8,11,-0.4085,2.03475,2.07535
1979,8,12,0.10035,2.03777,2.04023
1979,8,13,0.18304,1.93336,1.94201
1979,8,14,0.25433,2.3103,2.32426
1979,8,15,0.29654,2.01094,2.03268
1979,8,16,0.6125,1.73294,1.838
1979,8,17,0.85533,1.49859,1.7255
1979,8,18,1.46479,1.20049,1.89388
1979,8,19,2.04755,0.80558,2.20032
1979,8,20,1.95824,0.1581,1.96461
1979,8,21,1.87962,-0.24237,1.89518
1979,8,22,1.72087,-0.48994,1.78926
1979,8,23,1.46868,-0.5956,1.58485
1979,8,24,1.77209,-0.91714,1.99536
1979,8,25,2.00074,-0.96393,2.22084
1979,8,26,2.06581,-0.9158,2.2597
1979,8,27,2.14428,-1.35203,2.53494
1979,8,28,2.36904,-1.67204,2.89967
1979,8,29,2.22559,-1.67525,2.78563
1979,8,30,2.06311,-1.58941,2.60435
1979,8,31,1.61754,-1.33039,2.09437
1979,9,1,1.42904,-1.21787,1.8776
1979,9,2,1.15022,-1.04849,1.55638
1979,9,3,1.14856,-0.97992,1.50978
1979,9,4,1.23374,-0.99469,1.58477
1979,9,5,1.29655,-1.13504,1.72318
1979,9,6,1.34974,-1.15608,1.77717
1979,9,7,1.16093,-1.02253,1.54703
1979,9,8,0.8594,-1.04112,1.35
1979,9,9,0.68703,-1.0328,1.24044
1979,9,10,0.75877,-1.01971,1.27104
1979,9,11,0.75278,-1.11876,1.34844
1979,9,12,0.76749,-1.08656,1.33028
1979,9,13,0.77305,-0.75564,1.08102
1979,9,14,0.80001,-0.95115,1.24286
1979,9,15,0.74879,-1.11086,1.33966
1979,9,16,0.71835,-1.11602,1.32722
1979,9,17,0.71597,-1.36608,1.54233
1979,9,18,0.28569,-1.30348,1.33442
1979,9,19,-0.0522,-1.02832,1.02964
1979,9,20,-0.35939,-0.99673,1.05955
1979,9,21,-0.5191,-0.8701,1.01318
1979,9,22,-0.92281,-0.57444,1.08699
1979,9,23,-1.32744,-0.20922,1.34382
1979,9,24,-1.5858,0.01635,1.58588
1979,9,25,-1.89387,0.50837,1.96091
1979,9,26,-2.15595,1.01131,2.38136
1979,9,27,-1.91174,1.55546,2.46459
1979,9,28,-1.81837,1.8332,2.58207
1979,9,29,-1.7019,2.2476,2.81924
1979,9,30,-1.51218,2.26659,2.72473
1979,10,1,-1.31572,2.30898,2.65753
1979,10,2,-1.25815,2.16928,2.50773
1979,10,3,-1.24573,2.29912,2.61492
1979,10,4,-0.99095,2.48137,2.67193
1979,10,5,-0.73689,2.52179,2.62725
1979,10,6,-0.40053,2.25506,2.29035
1979,10,7,-0.05103,1.94085,1.94152
1979,10,8,0.32564,1.43667,1.47311
1979,10,9,0.70037,0.98533,1.20888
1979,10,10,0.61029,0.9568,1.13487
1979,10,11,0.33754,1.05933,1.11181
1979,10,12,0.394,1.19541,1.25866
1979,10,13,0.55741,1.18933,1.31347
